Laikotarpis;Rodiklis;Administracinė teritorija;Amžius (0–14, 65 ir vyresni);Matavimo vienetai;Reikšmė
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;20
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;19
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;19
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;19
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;19
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;20
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;20
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;20
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;21
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;21
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;0–14;asmenys;21
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;32
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;31
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;29
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;29
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;28
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;26
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;25
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;25
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;25
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;25
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;25
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;24
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;24
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;23
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;23
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;23
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;24
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;0–14;asmenys;24
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;30
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;29
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;28
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;27
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;27
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;26
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;25
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;24
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;24
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;23
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;21
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;20
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;20
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;20
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;19
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;20
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;20
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;0–14;asmenys;20
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;25
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;24
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;24
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;23
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;22
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;22
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;22
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;21
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;21
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;21
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;21
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;21
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;22
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;22
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;22
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;23
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;0–14;asmenys;23
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;32
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;30
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;29
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;29
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;28
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;26
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;25
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;24
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;24
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;25
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;25
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;25
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;24
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;24
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;24
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;25
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;25
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;0–14;asmenys;24
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;31
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;30
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;29
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;28
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;27
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;26
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;25
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;24
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;24
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;24
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;23
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;23
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;23
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;23
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;22
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;22
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;23
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;0–14;asmenys;23
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;33
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;32
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;30
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;29
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;28
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;26
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;24
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;24
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;23
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;22
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;21
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;21
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;21
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;21
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;21
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Prienų r. sav.;0–14;asmenys;21
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;34
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;33
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;31
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;31
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;30
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;29
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;28
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;27
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;26
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;25
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;23
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;23
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;22
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;22
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;21
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;21
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;21
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;21
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Raseinių r. sav.;0–14;asmenys;21
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;25
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;24
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;23
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;22
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;21
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;21
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;20
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;20
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;19
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;20
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;22
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;22
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;23
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;24
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;25
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;26
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos m. sav.;0–14;asmenys;26
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;35
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;33
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;31
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;30
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;28
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;26
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;26
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;25
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;24
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;26
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;26
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;26
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;26
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;25
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;25
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;25
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;25
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Klaipėdos r. sav.;0–14;asmenys;25
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;34
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;33
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;32
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;31
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;30
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;29
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;28
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;26
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;25
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kretingos r. sav.;0–14;asmenys;25
